prompt,tier,word_count,char_count,sentence_count,avg_word_length,has_question_mark,code_token_count,instruction_verb_count,tier_label
Which HTML tag marks the most important heading on a page?,simple,11.0,58.0,1.0,5.27,1.0,0.0,0.0,0
In a stylesheet what is a class selector?,simple,8.0,41.0,1.0,5.12,1.0,1.0,0.0,0
Give a one-sentence definition of an API.,simple,7.0,41.0,1.0,5.86,0.0,0.0,0.0,0
What syntax surrounds a JSON object?,simple,6.0,36.0,1.0,6.0,1.0,0.0,0.0,0
In programming what holds a changeable value?,simple,7.0,45.0,1.0,6.43,1.0,0.0,0.0,0
True and false belong to which data type?,simple,8.0,41.0,1.0,5.12,1.0,0.0,0.0,0
What component performs most instructions on a computer?,simple,8.0,56.0,1.0,7.0,1.0,0.0,0.0,0
State the main purpose of RAM.,simple,6.0,30.0,1.0,5.0,0.0,0.0,1.0,0
Identify the number assigned to a device on a network.,simple,10.0,54.0,1.0,5.4,0.0,0.0,0.0,0
Which part of a URL identifies the website's domain?,simple,9.0,52.0,1.0,5.78,1.0,0.0,0.0,0
Describe a database in a few words.,simple,7.0,35.0,1.0,5.0,0.0,0.0,1.0,0
In Python what is a function?,simple,6.0,29.0,1.0,4.83,1.0,1.0,0.0,0
Which character begins a Python comment?,simple,6.0,40.0,1.0,6.67,1.0,0.0,0.0,0
Name the Linux command used to list a folder.,simple,9.0,45.0,1.0,5.0,0.0,0.0,0.0,0
A developer runs git status. What information appears?,simple,8.0,54.0,2.0,6.75,1.0,0.0,1.0,0
Explain the role of a loop in code.,simple,8.0,35.0,1.0,4.38,0.0,0.0,1.0,0
How is a string represented in programming?,simple,7.0,43.0,1.0,6.14,1.0,0.0,0.0,0
A page returns 404. What does that indicate?,simple,8.0,44.0,2.0,5.5,1.0,0.0,0.0,0
Tell me what HTTPS adds to a website connection.,simple,9.0,48.0,1.0,5.33,0.0,0.0,0.0,0
What kind of work is SQL mainly used to do with databases?,simple,12.0,58.0,1.0,4.83,1.0,0.0,0.0,0
Choose the SQL keyword that reads table rows.,simple,8.0,45.0,1.0,5.62,0.0,0.0,0.0,0
In a table which field uniquely identifies each record?,simple,9.0,55.0,1.0,6.11,1.0,0.0,0.0,0
Give the job of DNS.,simple,5.0,20.0,1.0,4.0,0.0,0.0,0.0,0
A browser cookie stores what kind of information?,simple,8.0,49.0,1.0,6.12,1.0,0.0,0.0,0
How would you describe cloud storage?,simple,6.0,37.0,1.0,6.17,1.0,0.0,1.0,0
Describe two-factor authentication briefly.,simple,4.0,43.0,1.0,10.75,0.0,0.0,1.0,0
Spell out VPN.,simple,3.0,14.0,1.0,4.67,0.0,0.0,0.0,0
An IDE is used for what?,simple,6.0,24.0,1.0,4.0,1.0,0.0,0.0,0
Explain version control in plain language.,simple,6.0,42.0,1.0,7.0,0.0,0.0,1.0,0
What job does a compiler perform?,simple,6.0,33.0,1.0,5.5,1.0,0.0,0.0,0
Name Python's usual filename suffix.,simple,5.0,36.0,1.0,7.2,0.0,0.0,0.0,0
Which HTML element makes a hyperlink?,simple,6.0,37.0,1.0,6.17,1.0,0.0,0.0,0
In web design what does CSS change?,simple,7.0,35.0,1.0,5.0,1.0,0.0,1.0,0
State the purpose of a firewall.,simple,6.0,32.0,1.0,5.33,0.0,0.0,1.0,0
Pressing Ctrl+C in a terminal normally does what?,simple,8.0,49.0,1.0,6.12,1.0,0.0,0.0,0
Name the software that manages a computer's hardware.,simple,8.0,53.0,1.0,6.62,0.0,0.0,0.0,0
On a developer machine what does localhost mean?,simple,8.0,48.0,1.0,6.0,1.0,0.0,1.0,0
Describe the role of a server.,simple,6.0,30.0,1.0,5.0,0.0,0.0,1.0,0
In networking which computer requests a service?,simple,7.0,48.0,1.0,6.86,1.0,0.0,0.0,0
Give a short definition of a software bug.,simple,8.0,42.0,1.0,5.25,0.0,0.0,0.0,0
When finding a code error what activity is being done?,simple,10.0,54.0,1.0,5.4,1.0,0.0,0.0,0
In computing what can a cache speed up?,simple,8.0,39.0,1.0,4.88,1.0,0.0,0.0,0
Where are text commands typed on a computer?,simple,8.0,44.0,1.0,5.5,1.0,0.0,0.0,0
Which protocol is commonly used to transfer files between computers?,simple,10.0,68.0,1.0,6.8,1.0,0.0,0.0,0
What type of name identifies a website such as example.com?,simple,10.0,59.0,2.0,5.9,1.0,0.0,0.0,0
What is the main benefit of using SSH for a remote connection?,simple,12.0,62.0,1.0,5.17,1.0,0.0,0.0,0
In computing what is an algorithm?,simple,6.0,34.0,1.0,5.67,1.0,0.0,0.0,0
Describe open-source software.,simple,3.0,30.0,1.0,10.0,0.0,0.0,1.0,0
What type of device connection can carry power and data through one cable?,simple,13.0,74.0,1.0,5.69,1.0,0.0,0.0,0
A file path tells a computer what?,simple,7.0,34.0,1.0,4.86,1.0,0.0,0.0,0
What does a PDF aim to preserve when a document is shared?,simple,12.0,58.0,1.0,4.83,1.0,0.0,0.0,0
In a spreadsheet what begins a formula?,simple,7.0,39.0,1.0,5.57,1.0,0.0,0.0,0
A programmer types npm install. What is it for?,simple,9.0,47.0,2.0,5.22,1.0,0.0,0.0,0
In Python what does pip install add?,simple,7.0,36.0,1.0,5.14,1.0,0.0,0.0,0
In Git what is a branch?,simple,6.0,24.0,1.0,4.0,1.0,0.0,0.0,0
In Git what record saves a set of changes?,simple,9.0,42.0,1.0,4.67,1.0,0.0,0.0,0
A project folder tracked by Git is called what?,simple,9.0,47.0,1.0,5.22,1.0,0.0,0.0,0
Software tools that install libraries are called what?,simple,8.0,54.0,1.0,6.75,1.0,0.0,0.0,0
What does the CSS box model describe?,simple,7.0,37.0,1.0,5.29,1.0,0.0,1.0,0
An HTML attribute provides what extra detail?,simple,7.0,45.0,1.0,6.43,1.0,0.0,0.0,0
What line break does the BR tag insert?,simple,8.0,39.0,1.0,4.88,1.0,0.0,0.0,0
In JSON what uses square brackets to hold items?,simple,9.0,48.0,1.0,5.33,1.0,0.0,0.0,0
What punctuation usually surrounds an XML element name?,simple,8.0,55.0,1.0,6.88,1.0,0.0,0.0,0
A webhook sends an automatic notification to where?,simple,8.0,51.0,1.0,6.38,1.0,0.0,0.0,0
Password managers keep what secret safely?,simple,6.0,42.0,1.0,7.0,1.0,0.0,0.0,0
A QR code is scanned to access what type of information?,simple,11.0,56.0,1.0,5.09,1.0,0.0,0.0,0
Which computer component is specialized for graphics rendering?,simple,8.0,63.0,1.0,7.88,1.0,0.0,0.0,0
A virtual machine imitates what?,simple,5.0,32.0,1.0,6.4,1.0,0.0,0.0,0
At startup what does BIOS initialize?,simple,6.0,37.0,1.0,6.17,1.0,0.0,0.0,0
Identify the term for harmful software.,simple,6.0,39.0,1.0,6.5,0.0,0.0,0.0,0
CAPTCHA is designed to distinguish people from what?,simple,8.0,52.0,1.0,6.5,1.0,0.0,1.0,0
An email that tricks users into sharing secrets is called what?,simple,11.0,63.0,1.0,5.73,1.0,0.0,0.0,0
Encryption protects data by doing what?,simple,6.0,39.0,1.0,6.5,1.0,0.0,0.0,0
A backup is a copy kept for what purpose?,simple,9.0,41.0,1.0,4.56,1.0,0.0,0.0,0
How is data stored in a binary file?,simple,8.0,36.0,1.0,4.5,1.0,0.0,0.0,0
UTF-8 encodes what kind of characters?,simple,6.0,38.0,1.0,6.33,1.0,0.0,0.0,0
Which app is used to edit plain text?,simple,8.0,37.0,1.0,4.62,1.0,0.0,0.0,0
Ctrl+Z is the common shortcut for which action?,simple,8.0,47.0,1.0,5.88,1.0,0.0,0.0,0
Chrome and Firefox are examples of what?,simple,7.0,40.0,1.0,5.71,1.0,0.0,0.0,0
A modem connects a home network to what?,simple,8.0,40.0,1.0,5.0,1.0,0.0,0.0,0
A file sent with an email is known as what?,simple,10.0,43.0,1.0,4.3,1.0,0.0,0.0,0
What does it mean when software is delivered as a service online?,simple,12.0,65.0,1.0,5.42,1.0,0.0,0.0,0
An API key is used to identify what?,simple,8.0,36.0,1.0,4.5,1.0,0.0,0.0,0
Which keyboard shortcut typically copies selected text?,simple,7.0,55.0,1.0,7.86,1.0,0.0,0.0,0
Suggest a subject line for a meeting reminder.,simple,8.0,46.0,1.0,5.75,0.0,0.0,0.0,0
Make this request polite: Please send the invoice today.,simple,9.0,56.0,1.0,6.22,0.0,0.0,0.0,0
Apply correct capitalization to: quarterly sales update,simple,7.0,55.0,1.0,7.86,0.0,0.0,0.0,0
Change this job title to title case: customer success manager,simple,10.0,61.0,1.0,6.1,0.0,0.0,0.0,0
Write a brief out-of-office reply.,simple,5.0,34.0,1.0,6.8,0.0,0.0,1.0,0
Supply a one-line agenda for a budget meeting.,simple,8.0,46.0,1.0,5.75,0.0,0.0,0.0,0
In email what does CC mean?,simple,6.0,27.0,1.0,4.5,1.0,0.0,0.0,0
Explain the purpose of BCC.,simple,5.0,27.0,1.0,5.4,0.0,0.0,1.0,0
An invoice requests payment for what?,simple,6.0,37.0,1.0,6.17,1.0,0.0,0.0,0
A purchase order does what?,simple,5.0,27.0,1.0,5.4,1.0,0.0,0.0,0
The abbreviation KPI refers to what?,simple,6.0,36.0,1.0,6.0,1.0,0.0,0.0,0
What document lists topics for a meeting?,simple,7.0,41.0,1.0,5.86,1.0,0.0,0.0,0
At work what does PTO represent?,simple,6.0,32.0,1.0,5.33,1.0,0.0,0.0,0
Record of hours worked is called what?,simple,7.0,38.0,1.0,5.43,1.0,0.0,0.0,0
Give the full term for CRM.,simple,6.0,27.0,1.0,4.5,0.0,0.0,0.0,0
Why would someone keep a receipt?,simple,6.0,33.0,1.0,5.5,1.0,0.0,0.0,0
Identify the calendar item used to invite attendees.,simple,8.0,52.0,1.0,6.5,0.0,0.0,0.0,0
RSVP asks a guest to do what?,simple,7.0,29.0,1.0,4.14,1.0,0.0,0.0,0
Provide a short email closing that thanks the reader.,simple,9.0,53.0,1.0,5.89,0.0,0.0,0.0,0
Professionalize this sentence: I need this now.,simple,7.0,47.0,1.0,6.71,0.0,0.0,0.0,0
Fix the capitalization in this subject: follow up about project,simple,10.0,63.0,1.0,6.3,0.0,0.0,0.0,0
Describe an expense report.,simple,4.0,27.0,1.0,6.75,0.0,0.0,1.0,0
Spell out HR in a workplace context.,simple,7.0,36.0,1.0,5.14,0.0,0.0,0.0,0
An onboarding checklist helps a new employee do what?,simple,9.0,53.0,1.0,5.89,1.0,0.0,0.0,0
A contract is an agreement between whom?,simple,7.0,40.0,1.0,5.71,1.0,0.0,0.0,0
NDA stands for what in business?,simple,6.0,32.0,1.0,5.33,1.0,0.0,0.0,0
Show the reporting structure with which document?,simple,7.0,49.0,1.0,7.0,1.0,0.0,0.0,0
A deadline marks what point in time?,simple,7.0,36.0,1.0,5.14,1.0,0.0,0.0,0
Explain a memo in one sentence.,simple,6.0,31.0,1.0,5.17,0.0,0.0,1.0,0
Compose a short greeting for a client email.,simple,8.0,44.0,1.0,5.5,0.0,0.0,0.0,0
FYI is commonly used to signal what?,simple,7.0,36.0,1.0,5.14,1.0,0.0,0.0,0
In office messages what does EOD mean?,simple,7.0,38.0,1.0,5.43,1.0,0.0,0.0,0
Render July 4 2026 as YYYY-MM-DD.,simple,6.0,33.0,1.0,5.5,0.0,0.0,0.0,0
A deliverable is an item produced for what?,simple,8.0,43.0,1.0,5.38,1.0,0.0,0.0,0
Name the term for someone affected by a project.,simple,9.0,48.0,1.0,5.33,0.0,0.0,0.0,0
End an email with a concise sign-off.,simple,7.0,37.0,1.0,5.29,0.0,0.0,0.0,0
Compute the average of 4 and 8.,simple,7.0,31.0,1.0,4.43,0.0,0.0,0.0,0
Find 15 percent of 200.,simple,5.0,23.0,1.0,4.6,0.0,0.0,0.0,0
Add 36 to 14.,simple,4.0,13.0,1.0,3.25,0.0,0.0,0.0,0
Take 27 away from 90.,simple,5.0,21.0,1.0,4.2,0.0,0.0,0.0,0
Express 0.25 as a percentage.,simple,5.0,29.0,2.0,5.8,0.0,0.0,0.0,0
Locate the median in 2 5 and 9.,simple,8.0,31.0,1.0,3.88,0.0,0.0,0.0,0
Which value is greatest: 7 3 or 11?,simple,8.0,35.0,1.0,4.38,1.0,0.0,0.0,0
From 12 19 and 4 which number is smallest?,simple,9.0,42.0,1.0,4.67,1.0,0.0,0.0,0
Revenue is 500 and cost is 300. What is profit?,simple,10.0,47.0,2.0,4.7,1.0,0.0,0.0,0
Profit margin compares profit with what?,simple,6.0,40.0,1.0,6.67,1.0,0.0,1.0,0
A bar chart is best for showing what?,simple,8.0,37.0,1.0,4.62,1.0,0.0,0.0,0
What portion of a whole does a pie chart display?,simple,10.0,49.0,1.0,4.9,1.0,0.0,0.0,0
In a table what is one horizontal record called?,simple,9.0,48.0,1.0,5.33,1.0,0.0,0.0,0
Name the vertical grouping in a dataset.,simple,7.0,40.0,1.0,5.71,0.0,0.0,0.0,0
CSV is short for what?,simple,5.0,22.0,1.0,4.4,1.0,0.0,0.0,0
A spreadsheet filter lets you do what?,simple,7.0,38.0,1.0,5.43,1.0,0.0,0.0,0
Explain a pivot table briefly.,simple,5.0,30.0,1.0,6.0,0.0,0.0,1.0,0
A spreadsheet cell holds what?,simple,5.0,30.0,1.0,6.0,1.0,0.0,0.0,0
Total 18 and 22.,simple,4.0,16.0,1.0,4.0,0.0,0.0,0.0,0
A value rises from 50 by 10 percent. What is the new value?,simple,13.0,59.0,2.0,4.54,1.0,0.0,0.0,0
A negative account balance indicates what?,simple,6.0,42.0,1.0,7.0,1.0,0.0,0.0,0
What does a sales forecast estimate?,simple,6.0,36.0,1.0,6.0,1.0,0.0,0.0,0
In a report what does variance describe?,simple,7.0,40.0,1.0,5.71,1.0,0.0,1.0,0
A repeated entry in a database is called what?,simple,9.0,46.0,1.0,5.11,1.0,0.0,0.0,0
Name Japan's capital city.,simple,4.0,26.0,1.0,6.5,0.0,0.0,0.0,0
The Red Planet is the nickname of which planet?,simple,9.0,47.0,1.0,5.22,1.0,0.0,1.0,0
Hamlet was written by whom?,simple,5.0,27.0,1.0,5.4,1.0,0.0,0.0,0
Earth's largest ocean has what name?,simple,6.0,36.0,1.0,6.0,1.0,0.0,0.0,0
What money is used in Canada?,simple,6.0,29.0,1.0,4.83,1.0,0.0,0.0,0
Say hello in Spanish.,simple,4.0,21.0,1.0,5.25,0.0,0.0,0.0,0
Give the French word for thank you.,simple,7.0,35.0,1.0,5.0,0.0,0.0,0.0,0
Translate bonjour into English.,simple,4.0,31.0,1.0,7.75,0.0,0.0,1.0,0
Brazil's official language is what?,simple,5.0,35.0,1.0,7.0,1.0,0.0,0.0,0
Italy's capital is which city?,simple,5.0,30.0,1.0,6.0,1.0,0.0,0.0,0
On which continent would you find Kenya?,simple,7.0,40.0,1.0,5.71,1.0,0.0,0.0,0
Identify the tallest living animal.,simple,5.0,35.0,1.0,7.0,0.0,0.0,0.0,0
Mixing blue with yellow produces which color?,simple,7.0,45.0,1.0,6.43,1.0,0.0,0.0,0
State the number of days in a leap year.,simple,9.0,40.0,1.0,4.44,0.0,0.0,1.0,0
Who created the painting Mona Lisa?,simple,6.0,35.0,1.0,5.83,1.0,0.0,1.0,0
January is which month of the year?,simple,7.0,35.0,1.0,5.0,1.0,0.0,0.0,0
Give an antonym for ancient.,simple,5.0,28.0,1.0,5.6,0.0,0.0,0.0,0
Gracias has what meaning in English?,simple,6.0,36.0,1.0,6.0,1.0,0.0,0.0,0
Wellington is the capital of what nation?,simple,7.0,41.0,1.0,5.86,1.0,0.0,0.0,0
What animal is traditionally called man's best friend?,simple,8.0,54.0,1.0,6.75,1.0,0.0,0.0,0
Name the continent with the most land.,simple,7.0,38.0,1.0,5.43,0.0,0.0,0.0,0
Translate water into German.,simple,4.0,28.0,1.0,7.0,0.0,0.0,1.0,0
Nairobi is the capital of which country?,simple,7.0,40.0,1.0,5.71,1.0,0.0,0.0,0
Merci translates to what in English?,simple,6.0,36.0,1.0,6.0,1.0,0.0,1.0,0
Express an apology in one sentence for a late delivery.,simple,10.0,55.0,1.0,5.5,0.0,0.0,0.0,0
Send a friendly reply to a customer who says thanks.,simple,10.0,52.0,1.0,5.2,0.0,0.0,0.0,0
A package arrived damaged. Give a polite response.,simple,8.0,50.0,2.0,6.25,0.0,0.0,0.0,0
Create a short birthday card message.,simple,6.0,37.0,1.0,6.17,0.0,0.0,1.0,0
Build a three-item grocery list for tacos.,simple,7.0,42.0,1.0,6.0,0.0,0.0,1.0,0
Suggest a name for a gray cat.,simple,7.0,30.0,1.0,4.29,0.0,0.0,0.0,0
Make a two-line poem about rain.,simple,6.0,32.0,1.0,5.33,0.0,0.0,0.0,0
Give a polite way to decline an invitation.,simple,8.0,43.0,1.0,5.38,0.0,0.0,0.0,0
Draft a brief reply to: I want a refund.,simple,9.0,40.0,1.0,4.44,0.0,0.0,1.0,0
State a basic way to boil an egg.,simple,8.0,33.0,1.0,4.12,0.0,0.0,1.0,0
Name a safe refrigerator temperature.,simple,5.0,37.0,1.0,7.4,0.0,0.0,0.0,0
