prompt,tier
Which HTML tag marks the most important heading on a page?,simple
In a stylesheet what is a class selector?,simple
Give a one-sentence definition of an API.,simple
What syntax surrounds a JSON object?,simple
In programming what holds a changeable value?,simple
True and false belong to which data type?,simple
What component performs most instructions on a computer?,simple
State the main purpose of RAM.,simple
Identify the number assigned to a device on a network.,simple
Which part of a URL identifies the website's domain?,simple
Describe a database in a few words.,simple
In Python what is a function?,simple
Which character begins a Python comment?,simple
Name the Linux command used to list a folder.,simple
A developer runs git status. What information appears?,simple
Explain the role of a loop in code.,simple
How is a string represented in programming?,simple
A page returns 404. What does that indicate?,simple
Tell me what HTTPS adds to a website connection.,simple
What kind of work is SQL mainly used to do with databases?,simple
Choose the SQL keyword that reads table rows.,simple
In a table which field uniquely identifies each record?,simple
Give the job of DNS.,simple
A browser cookie stores what kind of information?,simple
How would you describe cloud storage?,simple
Describe two-factor authentication briefly.,simple
Spell out VPN.,simple
An IDE is used for what?,simple
Explain version control in plain language.,simple
What job does a compiler perform?,simple
Name Python's usual filename suffix.,simple
Which HTML element makes a hyperlink?,simple
In web design what does CSS change?,simple
State the purpose of a firewall.,simple
Pressing Ctrl+C in a terminal normally does what?,simple
Name the software that manages a computer's hardware.,simple
On a developer machine what does localhost mean?,simple
Describe the role of a server.,simple
In networking which computer requests a service?,simple
Give a short definition of a software bug.,simple
When finding a code error what activity is being done?,simple
In computing what can a cache speed up?,simple
Where are text commands typed on a computer?,simple
Which protocol is commonly used to transfer files between computers?,simple
What type of name identifies a website such as example.com?,simple
What is the main benefit of using SSH for a remote connection?,simple
In computing what is an algorithm?,simple
Describe open-source software.,simple
What type of device connection can carry power and data through one cable?,simple
A file path tells a computer what?,simple
What does a PDF aim to preserve when a document is shared?,simple
In a spreadsheet what begins a formula?,simple
A programmer types npm install. What is it for?,simple
In Python what does pip install add?,simple
In Git what is a branch?,simple
In Git what record saves a set of changes?,simple
A project folder tracked by Git is called what?,simple
Software tools that install libraries are called what?,simple
What does the CSS box model describe?,simple
An HTML attribute provides what extra detail?,simple
What line break does the BR tag insert?,simple
In JSON what uses square brackets to hold items?,simple
What punctuation usually surrounds an XML element name?,simple
A webhook sends an automatic notification to where?,simple
Password managers keep what secret safely?,simple
A QR code is scanned to access what type of information?,simple
Which computer component is specialized for graphics rendering?,simple
A virtual machine imitates what?,simple
At startup what does BIOS initialize?,simple
Identify the term for harmful software.,simple
CAPTCHA is designed to distinguish people from what?,simple
